"last_name, first_name","player_id","year","p_formatted_ip","pa","hit","home_run","strikeout","walk","k_percent","bb_percent","on_base_percent","babip","p_era","p_hit_by_pitch","poorlyweak_percent","hard_hit_percent","whiff_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","n","n_fastball_formatted","n_breaking_formatted","n_offspeed_formatted"
"Ramírez, Yohan",670990,2024,"45.0",208,49,4,45,17,21.6,8.2,".379",".352","6.20","12",4.5,34.3,24.8,45.5,23.9,22.4,8.2,"768","57","43",
"Schwellenbach, Spencer",680885,2024,"123.2",500,106,14,127,23,25.4,4.6,".271",".280","3.35","6",4.7,39.8,27.4,43,25.3,24.7,7,"1887","52.6","34.6","12.8"
"Fried, Max",608331,2024,"174.1",714,146,13,166,57,23.2,8,".295",".283","3.25","7",6.2,34.6,24.1,59.2,16.1,21.7,2.9,"2762","53.8","32.5","13.6"
"Lawrence, Justin",664875,2024,"59.2",279,73,9,45,33,16.1,11.8,".408",".350","6.49","7",4.6,42.3,22.6,52.6,18.6,27.3,1.5,"1081","58.9","41.1",
"Montgomery, Jordan",656756,2024,"117.0",532,149,14,83,44,15.6,8.3,".369",".351","6.23","2",5.7,41,26.9,43,24.9,27.6,4.5,"1929","48.2","32.5","19.3"
"Kikuchi, Yusei",579328,2024,"175.2",736,167,25,206,44,28,6,".291",".312","4.05","2",4.8,45,29,42.6,29.5,22.9,5,"2923","47","41.9","11.1"
"Anderson, Tyler",542881,2024,"179.1",765,158,24,142,73,18.6,9.5,".311",".258","3.81","7",4.8,33,27.8,38.3,29.5,23.8,8.5,"2914","61.5","1.4","37.1"
"Anderson, Chase",502624,2024,"58.1",255,55,12,42,21,16.5,8.2,".315",".246","5.40","4",3.7,33,23.8,31.9,34,22.3,11.7,"1016","50.4","19.2","30.4"
"Yates, Kirby",489446,2024,"61.2",237,23,3,85,28,35.9,11.8,".225",".169","1.17","2",5.8,33.1,33.6,45.5,34.7,13.2,6.6,"1026","60.7","0.6","38.7"
"Cortes Jr., Nestor",641482,2024,"174.1",710,162,24,162,39,22.8,5.5,".290",".288","3.77","4",4.2,43.6,24.2,31.9,32.1,24,12.1,"2849","73.6","16.8","9.7"
"Kelly, Joe",523260,2024,"32.0",143,31,4,35,16,24.5,11.2,".369",".333","4.78","5",7,43,22.4,47.7,23.3,24.4,4.7,"552","53.6","39.5","6.9"
"Webb, Jacob",657097,2024,"56.2",237,40,4,58,27,24.5,11.4,".287",".245","3.02","1",5.3,34.4,27.4,34.4,31.8,23.8,9.9,"933","44.3","28.1","27.7"
"Sánchez, Cristopher",650911,2024,"181.2",754,182,11,153,44,20.3,5.8,".301",".315","3.32","0",6.5,34.5,24.3,58.3,15.6,23.7,2.3,"2797","47.4","16.9","35.7"
"Saucedo, Tayler",642048,2024,"38.2",166,35,3,38,18,22.9,10.8,".331",".305","3.49","2",7.4,27.8,28.1,50.9,22.2,21.3,5.6,"626","49.2","27.3","23.5"
"Madden, Ty",680744,2024,"23.0",101,25,2,17,8,16.8,7.9,".337",".315","4.30","1",2.7,37.3,24.4,44,21.3,25.3,9.3,"403","63.3","21.6","15.1"
"Roberts, Ethan",681799,2024,"26.2",118,31,3,26,10,22,8.5,".356",".359","3.71","1",2.5,43.2,27.2,28.4,35.8,28.4,7.4,"474","40.7","59.3",
"Black, Mason",696131,2024,"36.1",169,46,7,31,15,18.3,8.9,".381",".348","6.44","3",4.2,40.8,16.4,32.5,35.8,24.2,7.5,"663","60.6","37.1","2.3"
"Soroka, Michael",647336,2024,"79.2",347,66,13,84,44,24.2,12.7,".328",".264","4.74","3",6,35.2,24.8,41.7,27.8,20.8,9.7,"1442","53.7","36.5","9.8"
"Domínguez, Seranthony",622554,2024,"58.2",255,52,12,68,21,26.7,8.2,".294",".263","4.45","2",6.7,32.9,26.4,36,31.1,22,11,"1064","58.8","40","1.1"
"Miller, Bobby",676272,2024,"56.0",258,69,17,52,30,20.2,11.6,".391",".331","8.52","2",2.3,47.7,23.7,44.8,25.3,24.7,5.2,"1053","51.5","28.6","19.9"
